Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
likeAComment,2000,816,740,1394,1828,3039,18,3127,0.000%,626.37018,128.45,185.34
checkLikeAComment,2000,642,552,1195,1468,1976,20,2117,0.000%,670.46597,166.96,199.70
addAComment,2000,942,930,1797,2230,2660,27,3354,0.000%,513.21529,105.25,175.42
allCommentsOfATopic,2000,533,266,1587,1674,1828,13,2626,0.000%,663.79024,565.26,131.59
getAComment,2000,502,239,1565,1620,1761,12,2919,0.000%,583.60082,495.83,112.27
findCommentsByReplyId,2000,542,265,1553,1661,2050,12,2998,0.000%,567.37589,145.72,113.03
TOTAL,12000,663,544,1534,1698,2344,12,3354,0.000%,94.65215,41.29,24.06
