Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
getMessagesBetweenTwoUsers,2000,598,281,1668,1763,3054,8,3870,0.000%,460.72334,118.33,98.53
getNewMessagesBetweenTwoUsers,2000,812,777,1592,1904,2451,9,2464,0.000%,469.04315,120.47,101.69
getAllUsersHasChattedWithAUser,2000,701,385,1785,2092,3369,9,6343,0.000%,294.33407,75.60,63.52
postAMessage,2000,768,749,1333,1473,1634,34,1689,0.000%,663.57001,136.08,232.64
setAllMessageWithAUserHaveRead,2000,497,236,1197,1642,1761,8,1990,0.000%,753.86355,154.60,176.69
numberOfMessagesUnreadWithAUser,2000,4366,5248,6115,6250,7206,92,8577,0.000%,156.87505,40.44,34.93
numberOfMessagesUnread,2000,534,236,1664,1722,2066,8,3085,0.000%,544.21769,139.24,116.39
总体,14000,1182,680,3608,5585,6186,8,8577,0.000%,189.86913,45.96,45.24
