Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
getSearchedTopics,2000,5517,5929,7882,8173,9198,480,11996,0.000%,46.88123,296.99,7.37
getATopicView,2000,4591,4410,7221,7455,8335,48,9787,0.000%,45.20693,1333.32,6.05
addATopic,2000,2877,2885,3770,4174,5755,116,7751,0.000%,45.96961,9.38,0.00
browseATopic,2000,2453,2332,3425,3523,4088,1385,5127,0.000%,49.45232,10.14,6.57
checkUserStar,2000,2517,2321,3530,4285,6257,68,8343,0.000%,45.92212,11.44,6.28
getHotTopics,2000,3322,2836,7467,8045,9286,21,13307,0.000%,45.21307,286.29,5.96
getRecommendTopics,2000,5337,5013,7847,8485,9651,174,11762,0.000%,45.93266,3232.02,7.00
总体,14000,3802,3191,7208,7722,8876,21,13307,0.000%,233.81655,3780.58,28.22
